preview,name,file,author,license,link,standard
Theme_Adwaita.jpg,Adwaita,,,,,true
Theme_Adwaita_Big.jpg,Adwaita Big,,,,,true
Theme_Analog_Clock.jpg,Analog Clock,,,,,true
Theme_Bright.jpg,Bright,,,,,true
Theme_Distro.jpg,Distro Themes,distro-themes.tar.gz,albercuba,GPL,https://gnome-look.org/content/show.php/Gnome-pie+themes?content=146438,false
Theme_Dragon.jpg,Dragon,Dragon01.tar.gz,ZODZ,No license provided,https://zodzlinux.wordpress.com/,false
Theme_Elementary.jpg,Elementary,,,,,true
Theme_Eternal.jpg,Eternal,eternal.tar.gz,Alfonso Salas,No license provided,https://zodzlinux.wordpress.com/,false
Theme_Itachi.jpg,Itachi,Itachi.tar.gz,P@ulo,No license provided,https://www.gnome-look.org/content/show.php/Itachi+Theme+Gnome+Pie?content=156948,false
Theme_Gnome_Dark.jpg,Gnome Dark,Gnome-Dark.tar.gz,Mariano Macri,No license provided,false,false
Theme_Funky.jpg,Funky,,,,,true
Theme_Glossy.jpg,Glossy,,,,,true
Theme_Kiss.jpg,Kiss,kiss.tar.gz,dooblem,GPL,https://gnome-look.org/content/show.php/Gnome-Pie+Theme%3A+Kiss?content=157381,false
Theme_Minimalistic.jpg,Minimalistic,minimalistic.tar.gz,ochoadavid,GPL,https://gnome-look.org/content/show.php/Gnome-pie+Minimalistic?content=146807,false
Theme_Minimalistic_Text.jpg,Minimalistic Text,,,,,true
Theme_Numix.jpg,Numix,,,,,true
Theme_O-Pie.jpg,O-Pie,,,,,true
Theme_Pacman.jpg,Pacman,pacman.tar.gz,Adiran Vira-Ryuuji,No license provided,https://zodzlinux.wordpress.com/,false
Theme_Sharingan.jpg,Sharingan,Sharingan.tar.gz,Adiran Vira-Ryuuji,No license provided,https://zodzlinux.wordpress.com/,false
Theme_Simple.jpg,Simple,,,,,true
Theme_Sis-Solar.jpg,Sis Solar,sis-solar.tar.gz,Adiran Vira-Ryuuji,No license provided,https://zodzlinux.wordpress.com/,false
Theme_Slim.jpg,Slim,,,,,true
Theme_Space_Clock.jpg,Space Clock,,,,,true
Theme_Ubuntu.jpg,Ubuntu-Logo,Ubuntu-Logo.tar.gz,ZODZ,No license provided,https://zodzlinux.wordpress.com/,false
Theme_Unity.jpg,Unity,,,,,true
